scenario,Image_Tool,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script,Video Path
35,DallE3,61.02,4.81,20.78,3.67,11.98,bummer,bummer,tennis,"Mia was playing in a tennis match at the local park with her friend Sam.She was excited because it was her first time competing in front of her family.During a crucial point, she accidentally hit the ball out of bounds, costing her team the game.Feeling sad and frustrated, Mia thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_35_DallE3.mp4
35,GPTimage,71.02,4.81,19.79,8.07,4.6,bummer,bummer,tennis,"Mia was playing in a tennis match at the local park with her friend Sam.She was excited because it was her first time competing in front of her family.During a crucial point, she accidentally hit the ball out of bounds, costing her team the game.Feeling sad and frustrated, Mia thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_35_GPTimage.mp4
36,DallE3,55.83,5.22,18.2,3.85,9.9,bummer,bummer,playing video game,"Sam was excited to play his favorite online game with his friends on a sunny Saturday afternoon.Just as the game started, his internet suddenly cut off, leaving him disconnected from his friends.He tried restarting the router, but the connection wouldn't come back.Feeling let down, Sam thought to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_36_DallE3.mp4
36,GPTimage,66.0,5.22,18.65,7.65,5.48,bummer,bummer,playing video game,"Sam was excited to play his favorite online game with his friends on a sunny Saturday afternoon.Just as the game started, his internet suddenly cut off, leaving him disconnected from his friends.He tried restarting the router, but the connection wouldn't come back.Feeling let down, Sam thought to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_36_GPTimage.mp4
37,DallE3,66.46,4.93,20.69,3.63,12.42,bummer,bummer,lacrosse,"Emma stood on the lacrosse field, realizing she had forgotten her stick at home.Her team was just about to start their first big match of the season.She felt a pit in her stomach as she watched her teammates warm up without her.Emma thought to herself, “How big is this problem?”",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_37_DallE3.mp4
37,GPTimage,76.14,4.93,24.79,7.89,4.27,bummer,bummer,lacrosse,"Emma stood on the lacrosse field, realizing she had forgotten her stick at home.Her team was just about to start their first big match of the season.She felt a pit in her stomach as she watched her teammates warm up without her.Emma thought to herself, “How big is this problem?”",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_37_GPTimage.mp4
38,DallE3,55.5,4.05,20.74,3.75,7.24,bummer,bummer,swimming,"Tyler was excited for his first big swim race at the local pool.Just as the race was about to start, he realized he forgot his goggles at home.He felt sad because the water would sting his eyes without them.Tyler wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_38_DallE3.mp4
38,GPTimage,63.91,4.05,19.72,7.17,3.89,bummer,bummer,swimming,"Tyler was excited for his first big swim race at the local pool.Just as the race was about to start, he realized he forgot his goggles at home.He felt sad because the water would sting his eyes without them.Tyler wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_38_GPTimage.mp4
39,DallE3,60.76,5.73,20.55,3.89,9.7,bummer,bummer,art,"Jessica, a 14-year-old art enthusiast, was excited to unveil her painting for the school art exhibit.However, on the day of the show, she realized she accidentally swapped her work with a friend’s.She felt nervous about discussing the mix-up with her art teacher and friend.Jessica pondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_39_DallE3.mp4
39,GPTimage,70.94,5.73,20.89,7.54,5.54,bummer,bummer,art,"Jessica, a 14-year-old art enthusiast, was excited to unveil her painting for the school art exhibit.However, on the day of the show, she realized she accidentally swapped her work with a friend’s.She felt nervous about discussing the mix-up with her art teacher and friend.Jessica pondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_39_GPTimage.mp4
40,DallE3,58.58,5.46,19.19,3.66,9.85,bummer,bummer,lacrosse,"Alex, a 15-year-old lacrosse player, steps onto the field ready for practice.During warm-ups, his coach announces that the weekend game is postponed due to a scheduling error.Alex feels disappointment wash over him as this was the game he'd been training for all season.He sighs and wonders to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_40_DallE3.mp4
40,GPTimage,68.81,5.46,20.42,7.33,5.64,bummer,bummer,lacrosse,"Alex, a 15-year-old lacrosse player, steps onto the field ready for practice.During warm-ups, his coach announces that the weekend game is postponed due to a scheduling error.Alex feels disappointment wash over him as this was the game he'd been training for all season.He sighs and wonders to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_40_GPTimage.mp4
41,DallE3,54.31,6.09,17.78,3.28,8.56,bummer,bummer,class,"Sam was at school, and he realized he had forgotten his homework for the science class.He knew that missing it might upset his teacher, Mrs. Green, who was strict about deadlines.Sam’s friends noticed his distress and offered to help during lunch break.Sam sat quietly, thinking, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_41_DallE3.mp4
41,GPTimage,63.73,6.09,18.6,6.84,4.88,bummer,bummer,class,"Sam was at school, and he realized he had forgotten his homework for the science class.He knew that missing it might upset his teacher, Mrs. Green, who was strict about deadlines.Sam’s friends noticed his distress and offered to help during lunch break.Sam sat quietly, thinking, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_41_GPTimage.mp4
42,DallE3,54.79,4.23,18.22,3.7,9.24,bummer,bummer,tennis,"Alex was excited to play in his first tennis tournament at the local courts.However, as he reached into his bag, he realized he had accidentally brought his dad's old racket instead of his own.The grip was too big, and it felt awkward in his hand.Feeling anxious, he asked himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_42_DallE3.mp4
42,GPTimage,64.92,4.23,19.4,7.8,5.02,bummer,bummer,tennis,"Alex was excited to play in his first tennis tournament at the local courts.However, as he reached into his bag, he realized he had accidentally brought his dad's old racket instead of his own.The grip was too big, and it felt awkward in his hand.Feeling anxious, he asked himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_42_GPTimage.mp4
43,DallE3,48.84,6.16,13.21,3.8,8.54,bummer,bummer,curling,"Liam was excited for his big curling match at the local ice rink.He had practiced for weeks and felt ready to impress his friends and coach.But as he arrived, he realized he forgot his special curling shoes at home.He thought to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_43_DallE3.mp4
43,GPTimage,59.69,6.16,17.13,9.69,4.05,bummer,bummer,curling,"Liam was excited for his big curling match at the local ice rink.He had practiced for weeks and felt ready to impress his friends and coach.But as he arrived, he realized he forgot his special curling shoes at home.He thought to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_43_GPTimage.mp4
44,DallE3,57.63,6.17,20.11,3.86,9.36,bummer,bummer,game,"In a small, bustling school hallway, Ricky, a 14-year-old, discovered his favorite video game had mysteriously vanished from his backpack.He vaguely recalled showing it to his friend during lunch, but now it was nowhere to be found.Feeling a knot in his stomach, Ricky wondered if he’d carelessly left it elsewhere or if someone had taken it by mistake.With a sigh, he asked himself, “How big is this problem?”",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_44_DallE3.mp4
44,GPTimage,69.66,6.17,18.14,8.45,6.35,bummer,bummer,game,"In a small, bustling school hallway, Ricky, a 14-year-old, discovered his favorite video game had mysteriously vanished from his backpack.He vaguely recalled showing it to his friend during lunch, but now it was nowhere to be found.Feeling a knot in his stomach, Ricky wondered if he’d carelessly left it elsewhere or if someone had taken it by mistake.With a sigh, he asked himself, “How big is this problem?”",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_44_GPTimage.mp4
45,DallE3,63.7,4.5,26.88,4.29,8.35,bummer,bummer,swimming,"Lucy watched as the swimming pool filled with kids laughing and playing, her heart sinking.She realized she forgot her swimsuit at home, trapped on the other side of town.Her friends were already in the water, enjoying themselves without a care.Lucy sighed, thinking to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_45_DallE3.mp4
45,GPTimage,72.67,4.5,19.69,8.03,4.19,bummer,bummer,swimming,"Lucy watched as the swimming pool filled with kids laughing and playing, her heart sinking.She realized she forgot her swimsuit at home, trapped on the other side of town.Her friends were already in the water, enjoying themselves without a care.Lucy sighed, thinking to herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_45_GPTimage.mp4
46,DallE3,58.59,5.04,22.22,3.57,8.11,bummer,bummer,lacrosse,"Alex was excited to play in the lacrosse match this afternoon.However, when he arrived at the field, he realized he had forgotten his lucky lacrosse gloves at home.Without them, he felt less confident about his performance.He wondered nervously, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_46_DallE3.mp4
46,GPTimage,67.72,5.04,19.65,7.04,4.27,bummer,bummer,lacrosse,"Alex was excited to play in the lacrosse match this afternoon.However, when he arrived at the field, he realized he had forgotten his lucky lacrosse gloves at home.Without them, he felt less confident about his performance.He wondered nervously, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_46_GPTimage.mp4
47,DallE3,67.05,8.05,23.02,5.07,9.7,bummer,bummer,birthday party,"Emily was thrilled about her birthday party at the park, but as guests started arriving, it began to rain.Her friends huddled under a small gazebo as the rain poured down, drenching the picnic and soaking the presents.Emily felt her excitement turn to disappointment, watching the colorful balloons sagging in the downpour.Emily asked herself, 'How big is this problem?' as she tried to think of what to do next.",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_47_DallE3.mp4
47,GPTimage,77.63,8.05,21.21,8.48,6.24,bummer,bummer,birthday party,"Emily was thrilled about her birthday party at the park, but as guests started arriving, it began to rain.Her friends huddled under a small gazebo as the rain poured down, drenching the picnic and soaking the presents.Emily felt her excitement turn to disappointment, watching the colorful balloons sagging in the downpour.Emily asked herself, 'How big is this problem?' as she tried to think of what to do next.",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_47_GPTimage.mp4
48,DallE3,56.94,4.6,19.05,3.61,8.98,bummer,bummer,soccer,"Sam, a 10-year-old soccer player, eagerly hurries to the field, excited for the big match.As the game starts, Sam realizes he accidentally wore the old team jersey instead of the new one.Feeling embarrassed, he notices some teammates giggling and pointing at his jersey.Sam wonders, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_48_DallE3.mp4
48,GPTimage,66.21,4.6,20.7,7.04,4.76,bummer,bummer,soccer,"Sam, a 10-year-old soccer player, eagerly hurries to the field, excited for the big match.As the game starts, Sam realizes he accidentally wore the old team jersey instead of the new one.Feeling embarrassed, he notices some teammates giggling and pointing at his jersey.Sam wonders, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_48_GPTimage.mp4
49,DallE3,65.31,7.5,26.37,3.47,9.14,bummer,bummer,soccer,"Sophia was excited to play in the soccer match at school today.As she ran onto the field, she noticed her best friend Jake sitting on the bench, looking upset.He told her that their coach had chosen another player to be the team captain instead of him.Sophia wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_49_DallE3.mp4
49,GPTimage,75.19,7.5,18.82,8.11,4.24,bummer,bummer,soccer,"Sophia was excited to play in the soccer match at school today.As she ran onto the field, she noticed her best friend Jake sitting on the bench, looking upset.He told her that their coach had chosen another player to be the team captain instead of him.Sophia wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_49_GPTimage.mp4
50,DallE3,67.13,6.45,21.68,8.42,9.1,bummer,bummer,birthday party,"Emily excitedly prepares for her birthday party at the local park, eagerly waiting for her friends to arrive.As the guests start showing up, she notices a mix-up in the invitations — half her friends are missing.She feels a wave of disappointment, realizing her friends didn’t arrive because of the confusion.Emily sits quietly, thinking to herself: ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_50_DallE3.mp4
50,GPTimage,77.0,6.45,21.48,12.19,5.19,bummer,bummer,birthday party,"Emily excitedly prepares for her birthday party at the local park, eagerly waiting for her friends to arrive.As the guests start showing up, she notices a mix-up in the invitations — half her friends are missing.She feels a wave of disappointment, realizing her friends didn’t arrive because of the confusion.Emily sits quietly, thinking to herself: ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_50_GPTimage.mp4
